customer_name,email,total_orders
"Ava Hernandez",ava.hernandez@example.com,0
"Noah Green",noah.green@example.com,0
"Sophia Campbell",sophia.campbell@example.com,0
"Liam Gonzalez",liam.gonzalez@example.com,0
"Mason Allen",mason.allen@example.com,0
"Charlotte Nelson",charlotte.nelson@example.com,0
"Emma Wright",emma.wright@example.com,0
"Jack Baker",jack.baker@example.com,0
"Amelia King",amelia.king@example.com,0
"Sophia Davis",sophia.davis@example.com,0
"Liam Harris",liam.harris@example.com,0
"Olivia Clark",olivia.clark@example.com,0
"Noah Lewis",noah.lewis@example.com,0
"Ava Robinson",ava.robinson@example.com,0
"Mason Martinez",mason.martinez@example.com,0
"Sophia Anderson",sophia.anderson@example.com,0
"Jackson Harris",jackson.harris@example.com,0
"Zoe Thompson",zoe.thompson@example.com,0
"Ava Scott",ava.scott@example.com,0
"Mason Green",mason.green@example.com,0
"Sophia Baker",sophia.baker@example.com,0
"Liam Campbell",liam.campbell@example.com,0
"Emma Gonzalez",emma.gonzalez@example.com,0
"Noah Allen",noah.allen@example.com,0
"Charlotte Wright",charlotte.wright@example.com,0
"Ava Hill",ava.hill@example.com,0
"Jack Adams",jack.adams@example.com,0
"Sophia Nelson",sophia.nelson@example.com,0
"Liam Hernandez",liam.hernandez@example.com,0
"Olivia Green",olivia.green@example.com,0
"Noah Campbell",noah.campbell@example.com,0
"Emma Gonzalez",emma.gonzal@example.com,0
"Mason Allen",mason.all@example.com,0
"Sophia Nelson",sophia.nel@example.com,0
"Jackson Adams",jackson.adam@example.com,0
"Zoe Thompson",zoe.thomp@example.com,0
"Emma Wright",emma.wrig@example.com,0
"Jack Baker",jack.bak@example.com,0
"Amelia King",amelia.kin@example.com,0
"Sophia Davis",sophia.dav@example.com,0
"Liam Harris",liam.har@example.com,0
"Olivia Clark",olivia.cla@example.com,0
"Noah Lewis",noah.lew@example.com,0
"Ava Robinson",ava.rob@example.com,0
"Mason Martinez",mason.mart@example.com,0
"Sophia Anderson",sophia.ander@example.com,0
"Jackson Harris",jackson.har@example.com,0
"Zoe Thompson",zoe.thom@example.com,0
"Ava Scott",ava.scot@example.com,0
"Mason Green",mason.gre@example.com,0
"Sophia Baker",sophia.bak@example.com,0
"Liam Campbell",liam.camp@example.com,0
"Emma Gonzalez",emma.gonz@example.com,0
"Noah Allen",noah.all@example.com,0
"Charlotte Wright",charlotte.wrig@example.com,0
"Ava Hill",ava.hil@example.com,0
"Jack Adams",jack.adam@example.com,0
"Sophia Nelson",sophia.neln@example.com,0
"Liam Hernandez",liam.hern@example.com,0
"Olivia Green",olivia.gre@example.com,0
"Noah Campbell",noah.camp@example.com,0
"Emma Gonzalez",emma.goz@example.com,0
"Mason Allen",mason.al@example.com,0
"Sophia Anderson",sophia.and@example.com,0
"Jackson Adams",jackson.aa@example.com,0
"Zoe Thompson",zoe.thop@example.com,0
"Ava Scott",ava.sco@example.com,0
"Mason Green",mason.gr@example.com,0
"Sophia Baker",sophia.bk@example.com,0
"Liam Campbell",liam.cp@example.com,0
"Emma Gonzalez",emma.gn@example.com,0
"Noah Allen",noah.al@example.com,0
"Charlotte Wright",charlotte.wr@example.com,0
"Ava Hill",ava.hil2@example.com,0
"Jack Adams",jack.adam2@example.com,0
"Sophia Nelson",sophia.nelson2@example.com,0
"Liam Hernandez",liam.hernandez2@example.com,0
"Olivia Green",olivia.green2@example.com,0
"Noah Campbell",noah.campbell2@example.com,0
"Emma Gonzalez",emma.gonzalez3@example.com,0
"Mason Allen",mason.allen2@example.com,0
"Sophia Nelson",sophia.nelson3@example.com,0
"Jackson Adams",jackson.adams2@example.com,0
"Zoe Thompson",zoe.thompson2@example.com,0
"Ava Scott",ava.scott2@example.com,0
"Mason Green",mason.green2@example.com,0
"Sophia Baker",sophia.baker2@example.com,1
"Liam Campbell",liam.campbell2@example.com,1
"Emma Gonzalez",emma.gonzalez4@example.com,1
"Noah Allen",noah.allen2@example.com,1
"Charlotte Wright",charlotte.wright2@example.com,1
"Ava Hill",ava.hill3@example.com,1
"Jack Adams",jack.adams3@example.com,1
"Sophia Nelson",sophia.nelson4@example.com,1
